Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.Tutorials.Completed.Continue,,,Continue,Continue,,Fortfahren,Continuar,Continuer,जारी रखें,Lanjutkan,Continua,続ける,계속,Kontynuuj,Continuar,,ดำเนินการต่อ,Devam,Tiếp Tục,继续,继续,繼續
Studio.Tutorials.Tutorial.Begin,,,Begin,Begin,,Beginnen,Empezar,Commencer,शुरू करें,Mulai,Inizia,始める,시작,Rozpocznij,Começar,,เริ่มต้น,Başla,Bắt Đầu,开始,开始,開始
Studio.Tutorials.Tutorial.StepSkipped,,,Step Skipped,Step Skipped,,Schritt übersprungen,Paso saltado,Étape ignorée,स्टेप छोड़ा गया,Langkah Dilewati,Passo Saltato,飛ばした内容,단계 건너뜀,Pominięto krok,Etapa ignorada,,ข้ามขั้นตอนแล้ว,Adım atlandı,Bước Bị Bỏ Qua,已跳过步骤,已跳过步骤,步驟已跳過
Studio.Tutorials.Tutorial.SkipStep,,,Skip Step,Skip Step,,Schritt überspringen,Saltar paso,Ignorer l'étape,स्टेप छोड़ें,Lewati Langkah,Salta passo,内容を飛ばす,단계 건너뛰기,Pomiń krok,Pular etapa,,ข้ามขั้นตอน,Adımı atla,Bỏ Qua Bước,跳过步骤,跳过步骤,跳過步驟
Studio.Tutorials.Tutorial.QuitTutorial,,,Quit Tutorial,Quit Tutorial,,Tutorial beenden,Salir del tutorial,Quitter le tutoriel,ट्यूटोरियल से बाहर निकलें,Keluar dari Tutorial,Esci dal tutorial,チュートリアルをやめる,튜토리얼 종료,Zakończ samouczek,Sair do tutorial,,ออกจากคู่มือการใช้งาน,Öğreticiden çık,Thoát Hướng Dẫn,退出教程,退出教程,退出教學
Studio.Tutorials.Tutorial.StopPlaytest_Title,,,Playtest,Playtest,,Spiel testen,Prueba de juego,Test de jeu,प्ले-टेस्ट,Playtest,Playtest,プレイテスト,플레이테스트,Playtest,Teste de jogo,,การทดลองเล่น,Oynanış Testi,Chơi Thử Nghiệm,游戏测试,游戏测试,試玩
Studio.Tutorials.Tutorial.StopPlaytest_Description,,,"Control your avatar with the <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> keys.<br/><br/>Try interacting with the parts you added!<br/><br/>When you're ready, press Stop to go back to editing your place.","Control your avatar with the <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> keys.<br/><br/>Try interacting with the parts you added!<br/><br/>When you're ready, press Stop to go back to editing your place.",,"Steuere deinen Avatar mit den Tasten <b>W</b>, <b>A</b>, <b>S</b> und <b>D</b>.<br/><br/>Versuche, mit den Teilen zu interagieren, die du hinzugefügt hast!<br/><br/>Wenn du fertig bist, drückst du auf ""Stoppen"", um zur Bearbeitung deines Ortes zurückzukehren.","Controla tu avatar con la teclas <b>W</b>, <b>A</b>, <b>S</b> y <b>D</b>.<br/><br/>Intenta interactuar con las piezas que añadiste.<br/><br/>Cuando tengas todo listo, presiona Detener para volver a editar tu lugar.","Contrôle ton avatar avec les touches <b>W</b>, <b>A</b>, <b>S</b> et <b>D</b>.<br/><br/> Essaie d'interagir avec les pièces que tu as ajoutées !<br/><br/> Quand tu es prêt, appuie sur Arrêter pour revenir à la modification de ta place."," <b>W</b>, <b>A</b>, <b>S</b> और <b>D</b> की (Key) के साथ अपने अवतार को कंट्रोल करें.<br/><br/>जोड़े गए पार्ट्स के साथ इंटरैक्ट करने की कोशिश करें!<br/><br/>जब आप तैयार हों, तो वापस जाकर अपने प्लेस को एडिट करने के लिए 'स्टॉप' दबाएँ.","Kontrol avatarmu dengan tombol <b>W</b>, <b>A</b>, <b>S</b>, & <b>D</b>.<br/><br/>Cobalah berinteraksi dengan komponen yang kamu tambahkan!<br/><br/>Jika kamu sudah siap, tekan Berhenti untuk kembali mengedit tempatmu.","Controlla il tuo avatar con i tasti <b>W</b>, <b>A</b>, <b>S</b> e <b>D</b>.<br/><br/>Prova a interagire con le parti che hai aggiunto!<br/><br/>Quando hai finito, premi Stop per tornare a modificare il tuo posto.",<b>W</b>、<b>A</b>、<b>S</b>そして<b>D</b>キーを使ってアバターを操作。<br/><br/>追加したパーツとインタラクトしてみましょう！<br/><br/>準備ができたら「停止」を押してプレースの編集に戻りましょう。,"<b>W</b>, <b>A</b>, <b>S</b>, <b>D</b> 키로 아바타를 제어하세요.<br/><br/>추가한 파트와 상호작용을 시도하세요.<br/><br/>테스트를 완료했다면 중지를 눌러 플레이스 편집으로 돌아가세요.","Steruj awatarem przy użyciu klawiszy <b>W</b>, <b>A</b>, <b>S</b> i <b>D</b>.<br/><br/>Wypróbuj interakcje z dodanymi przez ciebie częściami!<br/><br/>Kiedy uznasz, że chcesz zakończyć, naciśnij Zatrzymaj, aby wrócić do edytowania miejsca.","Controle seu avatar com as teclas <b>W</b>, <b>A</b>, <b>S</b> e <b>D</b>.<br/><br/>Tente interagir com as partes que você adicionou!<br/><br/>Quando você estiver pronto, pressione Parar para voltar a editar seu local.",,"ควบคุมอวาตาร์ของคุณด้วยปุ่ม <b>W</b>, <b>A</b>, <b>S</b> และ <b>D</b><br/><br/>ลองปฏิสัมพันธ์กับส่วนประกอบที่คุณได้เพิ่มเข้ามาดูสิ!<br/><br/>เมื่อคุณพร้อมแล้ว กดหยุดเพื่อกลับไปยังการแก้ไขสถานที่ของคุณ","Avatarını <b>W</b>, <b>A</b>, <b>S</b> ve <b>D</b> ile kontrol et.<br/><br/>Eklediğin parçalarla etkileşime girmeyi dene!<br/><br/>Hazır olduğunda Durdur seçeneğini kullanarak mekânını düzenlemeye dön.","Điều khiển avatar của bạn bằng các phím <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b>.<br/><br/>Thử tương tác với các bộ phận bạn đã thêm vào!<br/><br/>Khi sẵn sàng, ấn Dừng để quay lại và chỉnh sửa địa điểm của bạn.",使用 <b>W</b>、<b>A</b>、<b>S</b> 和 <b>D</b> 键控制虚拟形象。<br/><br/>尝试与你添加的部件互动！<br/><br/>当你准备好时，点击“停止”继续返回编辑场景。,使用 <b>W</b>、<b>A</b>、<b>S</b> 和 <b>D</b> 键控制虚拟形象。<br/><br/>尝试与你添加的部件互动！<br/><br/>当你准备好时，点击“停止”继续返回编辑场景。,使用 <b>W</b>、<b>A</b>、<b>S</b> 與 <b>D</b> 鍵控制自己的虛擬人偶。<br/><br/>請嘗試與您新增的零件互動！<br/><br/>您準備好之後，按下停止以返回編輯自己的空間。
Studio.Tutorials.StudioTour.Title,,,Studio Tour,Studio Tour,,Studio-Tour,Tour de Studio,Studio Tour,Studio टूर,Tur Studio,Studio Tour,Studioの見学,Studio 투어,Wprowadzenie do Studio,Introdução ao Studio,,ทัวร์ Studio,Studio Turu,Chuyến Tham Quan Studio,Studio 导览,Studio 导览,Studio 導覽
Studio.Tutorials.Tutorial.TopicNumber,,,Topic %d of %d,Topic %d of %d,,Thema %d von %d,Tema %d de %d,Sujet %d de %d,%d का विषय %d,Topik %d dari %d,Argomento %d di %d,トピック %d / %d,토픽 %d/%d,Temat %d z %d,Tópico %d de %d,,หัวข้อที่ %d จาก %d,Konu %d/%d,Chủ đề %d của %d,主题 %d/%d,主题 %d/%d,主題 %d/%d
Studio.Tutorials.Tutorial.Back,,,Back,Back,,Zurück,Atrás,Retour,वापस जाएँ,Kembali,Indietro,戻る,뒤로,Wstecz,Voltar,,ย้อนกลับ,Geri,Quay Lại,返回,返回,返回
Studio.Tutorials.Tutorial.Skip,,,Skip,Skip,,Überspringen,Saltar,Passer,छोड़ें,Lewati,Salta,スキップ,건너뛰기,Pomiń,Pular,,ข้าม,Atla,Bỏ Qua,跳过,跳过,跳過
Studio.Tutorials.SkipDialog.Title,,,Skip forward to this step?,Skip forward to this step?,,Zu diesem Schritt vorwärts springen?,¿Saltar a este paso?,Passer à l'étape suivante ?,इस स्टेप पर आगे बढ़ना है?,Lewati hingga langkah ini?,Vuoi andare direttamente a questo passaggio?,先に進んでこの内容に行きますか？,이 단계로 건너뛸까요?,Przejść dalej do tego kroku?,Pular para esta etapa?,,Skip Forward ขั้นตอนนี้หรือไม่?,Bu adıma atlansın mı?,Bạn muốn tua nhanh đến bước này?,快进至此步骤？,快进至此步骤？,跳到此步驟？
Studio.Tutorials.SkipDialog.Text,,,Skipping forward will complete the previous steps for you. This will insert any parts or models required to complete the rest of the tour.,Skipping forward will complete the previous steps for you. This will insert any parts or models required to complete the rest of the tour.,,"Wenn du vorwärts springst, werden die vorherigen Schritte für dich abgeschlossen. Dadurch werden alle Teile oder Modelle eingefügt, die du für den Rest der Tour benötigst.",Saltar un paso completará los pasos anteriores por ti. Esto insertará todas las piezas o modelos necesarios para completar el resto del tour.,Le fait de sauter en avant complétera les étapes précédentes. Cela permettra d'insérer toutes les pièces ou tous les modèles nécessaires pour compléter le reste de la visite.,आगे बढ़ने से आपके पिछले स्टेप पूरे हो जाएँगे. इससे बाकी के टूर को पूरा करने के लिए ज़रूरी सभी पार्ट्स या मॉडल इन्सर्ट हो जाएँगे.,"Jika kamu melewati langkah, langkah-langkah sebelumnya akan diselesaikan. Komponen atau model yang diperlukan untuk menyelesaikan sisa tur akan dimasukkan.","Andando direttamente a questo passaggio, i passaggi precedenti verranno completati e verranno inseriti eventuali parti o modelli necessari per completare il resto del tutorial.",先に進むと、前のステップが完了します。これで残りの見学を完了するために必要な部品やモデルが挿入されます。,앞으로 건너뛰면 이전 단계가 완료됩니다. 이렇게 하면 나머지 투어를 완료하는 데 필요한 파트나 모델이 삽입됩니다.,"Przechodząc dalej, zakończysz pominięte kroki. Spowoduje to wstawienie części i modeli niezbędny do ukończenia pozostałej części wprowadzenia.",Pular para frente completará os passos anteriores. Isso inserirá quaisquer partes ou modelos necessários para completar o resto da Introdução.,,การข้ามผ่านจะทำให้ขั้นตอนก่อนหน้าเสร็จสมบูรณ์สำหรับคุณ การดำเนินการนี้จะแทรกทุกส่วนประกอบหรือโมเดลที่จำเป็นต่อการทัวร์ให้เสร็จสิ้น,"Atladığında önceki adımlar senin için tamamlanır. Bu işlem, turun kalanının tamamlanması için gereken parçaları ve modelleri ekler.",Thao tác tua đi sẽ hoàn thành các bước trước đó cho bạn. Thao tác này sẽ chèn bất kỳ bộ phận hoặc mô hình nào cần thiết để hoàn thành phần còn lại của chuyến tham quan.,选择快进将自动完成之前的所有步骤。该操作将自动为你插入完成剩余教程所需的所有部件或模型。,选择快进将自动完成之前的所有步骤。该操作将自动为你插入完成剩余教程所需的所有部件或模型。,選擇跳過會自動完成之前的所有步驟。若在後續導覽中需要特定的零件或模型，會自動將它們插入。
Studio.Tutorials.StudioTour3.welcome_Title,,,Studio Tour,Studio Tour,,Studio-Tour,Tour de Studio,Studio Tour,Studio टूर,Tur Studio,Tour di Studio,Studioの見学,Studio 투어,Wprowadzenie do Studio,Introdução ao Studio,,ทัวร์ Studio,Studio Turu,Khám Phá Nhanh Studio,,,Studio 導覽
Studio.Tutorials.StudioTour3.zoomCamera_Compliment,,,Just like that!,Just like that!,,Genau so!,¡Eso!,C'est comme ça !,ठीक इसी तरह!,Tepat seperti itu!,Così si fa!,できました！,잘하고 있어요!,Właśnie tak!,Isso mesmo!,,ต้องอย่างนั้น!,İşte böyle!,Đơn giản vậy thôi!,,,就是這樣！
Studio.Tutorials.StudioTour3.insertMarketplace_Title,,,Insert the ball,Insert the ball,,Den Ball einfügen,Inserta la bola,Insérer la balle,बॉल डालें,Masukkan bola,Inserisci la sfera,ボールの挿入,공을 삽입하세요,Wstaw kulę,Insira a bola,,แทรกลูกบอล,Topu ekle,Chèn bóng,,,插入球
Studio.Tutorials.StudioTour3.Title,,,Studio Tour,Studio Tour,,Studio-Tour,Tour de Studio,Studio Tour,Studio टूर,Tur Studio,Tour di Studio,Studioの見学,Studio 투어,Wprowadzenie do Studio,Introdução ao Studio,,ทัวร์ Studio,Studio Turu,Khám Phá Nhanh Studio,,,Studio 導覽
Studio.Tutorials.StudioTour3.intro1_Title,,,Studio Tour,Studio Tour,,Studio-Tour,Tour de Studio,Studio Tour,Studio टूर,Tur Studio,Tour di Studio,Studioの見学,Studio 투어,Wprowadzenie do Studio,Introdução ao Studio,,ทัวร์ Studio,Studio Turu,Khám Phá Nhanh Studio,,,Studio 導覽
Studio.Tutorials.StudioTour3.focus_Compliment,,,Just like that!,Just like that!,,Genau so!,¡Justo así!,C'est comme ça !,ठीक इसी तरह!,Tepat seperti itu!,Così si fa!,できました！,잘하고 있어요!,Właśnie tak!,Isso mesmo!,,ต้องอย่างนั้น!,İşte böyle!,Đơn giản vậy thôi!,,,就是這樣！
Studio.Tutorials.StudioTour3.properties_Description,,,This is the Properties window. You can see and edit the properties of any object you select.,This is the Properties window. You can see and edit the properties of any object you select.,,Dies ist das Eigenschaften-Fenster. Du kannst die Eigenschaften eines jeden ausgewählten Objekts sehen und bearbeiten.,Esta es la ventana de Propiedades. Puedes ver y editar las propiedades de cualquier objeto que selecciones.,Ceci est la fenêtre Propriétés. Tu peux voir et modifier les propriétés de n'importe quel objet que tu sélectionnes.,यह 'प्रॉपर्टीज़' विंडो है. यहाँ आपके द्वारा चुने गए किसी भी ऑब्जेक्ट की प्रॉपर्टी देखी और एडिट की जा सकती हैं.,Ini adalah jendela Properti. Kamu bisa melihat dan mengedit properti objek apa pun yang kamu pilih.,Questa è la finestra Proprietà. Qui puoi vedere e modificare le proprietà di qualsiasi oggetto che selezioni.,これはプロパティウィンドウです。選択したオブジェクトのあらゆるプロパティを表示したり編集したりできます。,이것은 속성 창입니다. 선택한 개체의 속성을 보고 편집할 수 있습니다.,"To jest okno właściwości, w którym można wyświetlać i edytować właściwości dowolnego zaznaczonego obiektu.",Esta é a janela Propriedades. Você pode ver e editar as propriedades do objeto selecionado.,,นี่คือหน้าต่างคุณสมบัติ คุณสามารถดูและแก้ไขคุณสมบัติของวัตถุใดๆ ก็ตามที่คุณเลือกได้,"Bu, Özellikler penceresi. Seçtiğin nesnelerin özelliklerini burada görebilir ve düzenleyebilirsin.",Đây là cửa sổ Thuộc Tính. Bạn có thể xem và chỉnh sửa các thuộc tính của bất kỳ đối tượng nào bạn chọn.,,,這是屬性視窗，您可以檢視與編輯任何選定的物件屬性。
Studio.Tutorials.StudioTour3.speed_Description,,,You can add custom data to objects using attributes. Let's increase the speed of the ball to try and reach the furthest bullseye.<br/><br/>Type 'Speed' in the Filter Properties box to find and update the Speed value and change the speed of the ball.,You can add custom data to objects using attributes. Let's increase the speed of the ball to try and reach the furthest bullseye.<br/><br/>Type 'Speed' in the Filter Properties box to find and update the Speed value and change the speed of the ball.,,"Du kannst Objekten mithilfe von Attributen eigene Daten hinzufügen. Erhöhen wir die Geschwindigkeit des Balls, um zu versuchen, das weiteste Ziel zu erreichen.<br/><br/>Gib 'Geschwindigkeit' in das Feld Filtereigenschaften ein, um den Wert 'Geschwindigkeit' zu finden und zu aktualisieren und die Geschwindigkeit des Balls zu ändern.",Puedes añadir datos personalizados a objetos usando atributos. Aumentemos la velocidad de la pelota para intentar llegar al blanco más lejano.<br/><br/>Escribe 'Velocidad' en el cuadro Propiedades del filtro para encontrar y actualizar el valor de Velocidad y cambiar la velocidad de la bola.,Tu peux ajouter des données personnalisées aux objets à l'aide des attributs. Augmentons la vitesse de la balle pour essayer d'atteindre l'œil-de-bœuf le plus éloigné.<br/><br/>Tapez 'Vitesse' dans la zone Propriétés du filtre pour trouver et mettre à jour la valeur Vitesse et modifier la vitesse de la balle.,एट्रिब्यूट का उपयोग करके ऑब्जेक्ट्स में कस्टम डेटा जोड़ा जा सकता है. कोशिश करके सबसे दूर की बुल्सआई तक पहुँचने के लिए गेंद की गति बढ़ाएँ.<br/><br/>'स्पीड वैल्यू' को खोजने और अपडेट करने और बॉल की स्पीड बदलने के लिए 'फ़िल्टर प्रॉपर्टीज़' बॉक्स में 'स्पीड' टाइप करें.,Kamu bisa menambahkan data kustom ke objek menggunakan atribut. Coba tambah kecepatan bola untuk mencoba mencapai titik pusat target terjauh.<br/><br/>Ketik 'Kecepatan' di kotak Properti Filter untuk mencari dan meng-update nilai Kecepatan dan mengubah kecepatan bola.,"Puoi aggiungere dati personalizzati agli oggetti utilizzando gli attributi. Aumentiamo la velocità della palla per cercare di raggiungere il bersaglio più lontano.<br/><br/>Digita ""Velocità"" nella casella Proprietà filtro per trovare e aggiornare il valore Velocità e modificare la velocità della palla.",属性を使用してオブジェクトにカスタムデータを追加できます。ボールの速度を上げて、一番遠い的に当てましょう。<br/><br/>プロパティの並べ替えのボックスに「速度」('Speed') と入力すると、速度の値を探して更新し、ボールの速度を変更します。,특성을 사용해 개체에 사용자 정의 데이터를 추가할 수 있습니다. 가장 멀리 있는 표적에 닿을 수 있도록 공의 속도를 올려볼까요?<br/><br/>필터 속성 상자에 '속도(Speed)'를 입력하여 속도값을 찾아 공의 속도를 업데이트하세요.,"Możesz dodawać do obiektów dane niestandardowe, używając atrybutów. Spróbujmy zwiększyć szybkość kuli, aby dotrzeć do najdalszego celu.<br/><br/>W polu Filtr właściwości wpisz „Speed”, aby wyszukać i zaktualizować wartość atrybutu Speed i zmienić szybkość kuli.",Você pode adicionar dados personalizados a objetos usando atributos. Vamos aumentar a velocidade da bola para tentar alcançar o alvo mais distante.<br/><br/>Digite 'Velocidade' na caixa de propriedades de filtro para encontrar e atualizar o valor da velocidade e mudar a velocidade da bola.,,"คุณสามารถเพิ่มข้อมูลแบบกำหนดเองให้กับวัตถุได้โดยใช้คุณลักษณะ มาเพิ่มความเร็วของลูกบอลเพื่อลองไปให้ถึงเป้าที่อยู่ไกลที่สุดกันเถอะ<br/><br/>พิมพ์ ""Speed"" ในกล่องกรองคุณสมบัติ เพื่อค้นหาและอัปเดตค่า Speed และเปลี่ยนแปลงความเร็วของลูกบอล","Nitelikleri kullanarak nesnelere özel veriler ekleyebilirsin. Topun hızını artırarak en uzaktaki hedefe ulaşmaya çalışalım.<br/><br/>Özellikleri filtrele kutusuna ""Hız"" yazarak maksimum hız değerini bulup güncellediğinde topun hızını değişir.",Bạn có thể thêm dữ liệu tùy chỉnh vào các đối tượng bằng cách sử dụng các thuộc tính. Hãy tăng tốc độ của bóng để cố gắng chạm đến mục tiêu xa nhất.<br/><br/>Nhập 'Speed' vào hộp Thuộc Tính Bộ Lọc để tìm và cập nhật giá trị Tốc Độ và thay đổi tốc độ của quả bóng.,,,您可以使用屬性為物件新增自訂資料。來提升球速，試著抵達最遠的中心點。<br/><br/>在篩選器屬性框輸入「Speed」來尋找並更新 Speed 的值以改變球的速度。
Studio.Tutorials.StudioTour3.topic_summary,,,Summary,Summary,,Zusammenfassung,Resumen,Résumé,समरी,Ringkasan,Sommario,概要,요약,Podsumowanie,Resumo,,ข้อมูลสรุป,Özet,Tóm Tắt,,,概要
