Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.TestingControls.Tooltip.StepForwardClient,,,Step client forward one frame,Step client forward one frame,,Client einen Frame vorwärtsgehen,Avanza un fotograma en la simulación del cliente,,Majukan klien satu bingkai,Fai avanzare il client di un fotogramma,,클라이언트를 한 프레임 스텝 포워드합니다,Posuń na kliencie o jedną klatkę do przodu,Avançar o cliente em um quadro,,ให้ไคลเอนต์เดินหน้าหนึ่งเฟรม,İstemcide bir kare ileri adım,Tiến máy khách lên một khung hình,,,用戶端前進一個影格
Studio.TestingControls.Tooltip.StepForwardServer,,,Step server forward one frame,Step server forward one frame,,Server einen Frame vorwärtsgehen,Avanza un fotograma en la simulación del servidor,,Majukan server satu bingkai,Fai avanzare il server di un fotogramma,,서버를 한 프레임 스텝 포워드합니다,Posuń na serwerze o jedną klatkę do przodu,Avançar um quadro no servidor,,ให้เซิร์ฟเวอร์เดินหน้าหนึ่งเฟรม,Sunucuda bir kare ileri adım,Tiến máy chủ lên một khung hình,,,伺服器前進一個影格
Studio.TestingControls.Title.StepForwardServer,,,Step Forward: Server,Step Forward: Server,,Schritt vorwärts: Server,Paso adelante: Servidor,,Maju ke Depan: Server,Fai un passo avanti: server,,스텝 포워드: 서버,Posuń o krok do przodu: Serwer,Avançar uma etapa: Servidor,,เดินหน้า: เซิร์ฟเวอร์,İleri Adım: Sunucu,Tiến về trước: Máy chủ,,,逐步前進：伺服器
Studio.TestingControls.Title.Client,,,Client,Client,,Client,Cliente,,Klien,Client,,클라이언트,Klient,,,ไคลเอนต์,İstemci,Máy khách,,,用戶端
Studio.TestingControls.Title.Server,,,Server,Server,,Server,Servidor,,Server,Server,,서버,Serwer,,,เซิร์ฟเวอร์,Sunucu,Máy chủ,,,伺服器
Studio.TestingControls.Tooltip.ClientServerDM,,,Toggle between client and server view,Toggle between client and server view,,Zwischen Client- und Serveransicht umschalten,Cambia entre vista de cliente y servidor,,Beralih antara tampilan klien dan server,Passa dalla visualizzazione client a quella server,,클라이언트와 서버 보기 사이를 전환합니다,Przełączanie pomiędzy widokiem klienta i serwera,,,สลับระหว่างมุมมองไคลเอนต์และเซิร์ฟเวอร์,İstemci ve sunucu modu arasında geçiş yap,Chuyển đổi bật/tắt giữa chế độ xem máy khách và máy chủ,,,在用戶端和伺服器檢視之間切換
Studio.TestingControls.Title.EndSession,,,End Session,End Session,,Sitzung beenden,Finalizar sesión,,Akhiri Sesi,Termina sessione,,세션 종료,Zakończ sesję,,,จบเซสชัน,Oturumu Sonlandır,Kết thúc phiên,,,結束作業
Studio.TestingControls.Tooltip.EndSessionTeamTest,,,End Team Test session for all collaborators,End Team Test session for all collaborators,,Teamtestsitzung für alle Mitwirkenden beenden,Finaliza la sesión de prueba en equipo para todos los colaboradores,,Akhiri sesi Tes Tim untuk semua kolaborator,Termina la sessione di test team per tutti i collaboratori,,전체 공동 작업자에 대해 팀 테스트 세션을 종료합니다,Zakończ sesję testu zespołu dla wszystkich współtwórców,,,จบเซสชันการทดสอบแบบเป็นทีมสำหรับผู้ร่วมงานทั้งหมด,Ekip Testi oturumunu tüm iş birlikçileri için sonlandır,Kết thúc phiên thử nghiệm nhóm đối với tất cả người hợp tác,,,結束所有協作者的團隊測試作業
Studio.TestingControls.Tooltip.EndSessionServerClients,,,Close server and all client windows,Close server and all client windows,,Server und alle Client-Fenster schließen,Cierra el servidor y todas las ventanas del cliente,,Tutup server dan semua jendela klien,Chiudi il server e tutte le finestre client,,서버 및 전체 클라이언트 창을 닫습니다,Zamknij serwer i wszystkie okna klientów,,,ปิดหน้าต่างเซิร์ฟเวอร์และไคลเอนต์ทั้งหมด,Sunucuyu ve tüm istemci pencerelerini kapat,Đóng tất cả các cửa sổ máy chủ và máy khách,,,關閉伺服器和所有用戶端視窗
Studio.TestingControls.Tooltip.Test,,,"Start simulation with a player at a SpawnLocation or coordinates of around (0,100)","Start simulation with a player at a SpawnLocation or coordinates of around (0,100)",,"Starte die Simulation mit einem Spieler an einem SpawnLocation oder Koordinaten um (0,100)",,,"Mulai simulasi dengan pemain di SpawnLocation atau koordinat sekitar (0,100)","Avvia la simulazione con un giocatore in una spawn location o con coordinate intorno a (0,100)",,"SpawnLocation 또는 (0,100) 근처 좌표에서 플레이어와 함께 시뮬레이션을 시작합니다","Rozpocznij symulację z graczem w lokalizacji SpawnLocation lub lokalizacji o współrzędnych około (0,100)",,,"เริ่มการจำลองสถานการณ์โดยมีผู้เล่นอยู่ที่ SpawnLocation หรือพิกัดรอบๆ (0,100)","Bir SpawnLocation noktasında veya (0,100) koordinatları yakınında bir oyuncu ile simülasyonu başlat","Bắt đầu mô phỏng với người chơi tại một điểm SpawnLocation hoặc ở tọa độ khoảng (0,100)",,,"以玩家位於一個 SpawnLocation 或座標 (0, 100) 附近的狀態開始模擬"
Studio.TestingControls.Tooltip.AddClients,,,Add clients to the current session,Add clients to the current session,,Clients zur aktuellen Sitzung hinzufügen,,,Tambahkan klien ke sesi saat ini,Aggiungi client alla sessione corrente,,현재 세션에 클라이언트를 추가하세요,Dodaj klienty do bieżącej sesji,,,เพิ่มไคลเอนต์ไปยังเซสชันปัจจุบัน,Mevcut oturuma istemci ekle,Thêm máy khách vào phiên hiện tại,,,在目前作業階段新增用戶端
Studio.TestingControls.Title.Stop,,,Stop,Stop,,Stoppen,,,Hentikan,Stop,,중지,Zatrzymaj,,,หยุด,Durdur,Dừng,,,停止
Studio.TestingControls.Tooltip.Stop,,,End simulation,End simulation,,Simulation beenden,,,Akhiri Simulasi,Termina simulazione,,시뮬레이션을 종료합니다,Zakończ symulację,,,จบการจำลองสถานการณ์,Simülasyonu bitir,Kết thúc mô phỏng,,,結束模擬
Studio.TestingControls.Title.StepOut,,,Step Out,Step Out,,Herausspringen,,,Step Out,Esci,,단계 출력,Step Out,,,Step Out,Atla,Bước ra,,,跳出
Studio.TestingControls.Tooltip.StepOut,,,Moves the debugger out of the current function to the next line after the function was called,Moves the debugger out of the current function to the next line after the function was called,,Verschiebt den Debugger nach dem Aufruf der Funktion aus der aktuellen Funktion in die nächste Zeile,,,Mengeluarkan debugger dari fungsi saat ini ke baris selanjutnya setelah fungsi ditampilkan,Sposta il debugger dalla funzione corrente alla riga successiva dopo che la funzione è stata chiamata,,함수가 호출된 후 디버거가 현재 함수에서 나와 다음 행으로 이동하도록 합니다,Wyjście w debuggerze z bieżącej funkcji i przejście do wiersza następującego po wywołaniu funkcji,,,ย้ายตัวดีบั๊กออกจากฟังก์ชันปัจจุบันไปยังบรรทัดถัดไปหลังจากที่การทำงานนั้นถูกเรียกใช้,Hata ayıklayıcıyı mevcut fonksiyondan çıkarıp fonksiyonun çağrıldığı bir sonraki satıra taşır,"Di chuyển trình gỡ lỗi khỏi hàm hiện tại, chuyển sang dòng tiếp theo sau khi gọi hàm",,,將偵錯工具移出目前的函式，跳至呼叫該函式後的下一行
Studio.TestingControls.Title.StepOver,,,Step Over,Step Over,,Überspringen,,,Step Over,Scavalca,,단위 실행,Step Over,,,Step Over,Adımla,Nhảy qua,,,不進入
Studio.TestingControls.Tooltip.StepOver,,,Moves the debugger to the next line of code without moving into functions,Moves the debugger to the next line of code without moving into functions,,"Verschiebt den Debugger in die nächste Codezeile, ohne in Funktionen zu wechseln",,,Mengeluarkan debugger ke baris kode selanjutnya tanpa berpindah ke fungsi,Sposta il debugger alla riga di codice successiva senza passare alle funzioni,,디버거를 함수로 이동하지 않고 코드의 다음 행으로 이동합니다,Przejście w debuggerze do następnego wiersza kodu bez wkraczania do funkcji,,,ย้ายตัวดีบั๊กออกไปยังโค้ดบรรทัดถัดไปโดยไม่ย้ายเข้าไปในฟังก์ชัน,Hata ayıklayıcıyı fonksiyonların içine girmeden bir sonraki kod satırına taşır,Di chuyển trình gỡ lỗi đến dòng mã tiếp theo mà không di chuyển vào các hàm,,,將偵錯工具移至下一行程式碼，而不移至函式內
Studio.TestingControls.Title.StepInto,,,Step Into,Step Into,,Hineinspringen,,,Step Into,Entra,,한 단계씩 실행,Step Into,,,Step Into,Gir,Bước vào,,,逐步執行
Studio.TestingControls.Tooltip.StepInto,,,Moves the debugger into the function on the current line,Moves the debugger into the function on the current line,,Verschiebt den Debugger in die Funktion in der aktuellen Zeile,,,Memindahkan debugger ke fungsi pada baris saat ini,Sposta il debugger nella funzione sulla riga corrente,,디버거를 현재 행의 함수로 이동합니다,Przejście w debuggerze do funkcji w bieżącym wierszu,,,ย้ายตัวดีบั๊กเข้าไปในฟังก์ชันบนบรรทัดปัจจุบัน,Hata ayıklayıcıyı mevcut satırdaki fonksiyonun içine taşır,Di chuyển trình gỡ lỗi vào hàm trên dòng hiện tại,,,將偵錯工具移至目前程式碼行上的函式中
Studio.TestingControls.Title.AddClients,,,Add Clients,Add Clients,,Clients hinzufügen,,,Tambahkan Klien,Aggiungi client,,클라이언트 추가,Dodaj klienty,,,เพิ่มไคลเอนต์,İstemci Ekle,Thêm máy khách,,,新增用戶端
Studio.TestingControls.Title.Test,,,Test,Test,,Test,,,Tes,Test,,테스트,Test,,,ทดสอบ,Test et,Thử nghiệm,,,測試
Studio.TestingControls.Tooltip.TestHere,,,Start the simulation at the camera's current position,Start the simulation at the camera's current position,,Starte die Simulation an der aktuellen Kameraposition,,,Mulai simulasi di posisi kamera saat ini,Avvia la simulazione nella posizione attuale della telecamera,,카메라의 현재 위치에서 시뮬레이션을 시작합니다,Rozpocznij symulację w bieżącej pozycji kamery,,,เริ่มการจำลองสถานการณ์ที่ตำแหน่งปัจจุบันของกล้อง,Simülasyonu kameranın mevcut konumunda başlat,Bắt đầu mô phỏng tại vị trí hiện tại của camera,,,在鏡頭目前位置開始模擬
Studio.TestingControls.Title.TestHere,,,Test Here,Test Here,,Hier testen,,,Tes di Sini,Esegui il test qui,,여기서 테스트하세요,Przetestuj tutaj,,,ทดสอบที่นี่,Burada Test Et,Thử nghiệm tại đây,,,在此測試
Studio.TestingControls.Title.Run,,,Run,Run,,Ausführen,,,Jalankan,Corri,,실행,Uruchom,,,เรียกใช้,Çalıştır,Chạy,,,執行
Studio.TestingControls.Tooltip.Run,,,Start the simulation at the camera's current position without a player,Start the simulation at the camera's current position without a player,,Starte die Simulation ohne einen Spieler an der aktuellen Kameraposition,,,Mulai simulasi di posisi kamera saat ini tanpa pemain,Avvia la simulazione nella posizione attuale della telecamera senza un giocatore,,플레이어 없이 카메라의 현재 위치에서 시뮬레이션을 시작합니다,Rozpocznij symulację w bieżącej pozycji kamery bez gracza,,,เริ่มการจำลองสถานการณ์ที่ตำแหน่งปัจจุบันของกล้องโดยไม่มีผู้เล่น,Simülasyonu bir oyuncu olmadan kameranın mevcut konumunda başlatır,Bắt đầu mô phỏng tại vị trí hiện tại của camera khi không có người chơi,,,在鏡頭目前位置以沒有玩家的狀態開始模擬
Studio.TestingControls.Tooltip.TeamTest,,,Collaborators can join the simulation,Collaborators can join the simulation,,Mitwirkende können der Simulation beitreten,,,Kolaborator bisa bergabung dalam simulasi,I collaboratori possono unirsi alla simulazione,,공동 작업자들이 시뮬레이션에 참가할 수 있습니다,Współtwórcy mogą dołączyć do symulacji,,,ผู้ร่วมงานจะสามารถเข้าร่วมการจำลองสถานการณ์ได้,İş birlikçiler simülasyona katılabilir,Người hợp tác có thể tham gia mô phỏng,,,協作者可以加入模擬
Studio.TestingControls.Title.TeamTest,,,Team Test,Team Test,,Teamtest,,,Tes Tim,Team test,,팀 테스트,Test zespołu,,,การทดสอบแบบเป็นทีม,Ekip Testi,Thử nghiệm nhóm,,,團隊測試
Studio.TestingControls.Tooltip.ServerAndClients,,,Start a server and multiple client sessions,Start a server and multiple client sessions,,Starte einen Server und mehrere Client-Sitzungen,,,Mulai server dan beberapa sesi klien,Avvia un server e più sessioni client,,서버 및 여러 클라이언트 세션을 시작합니다,Uruchom serwer i wiele sesji klientów,,,เริ่มเซิร์ฟเวอร์และหลายช่วงเซสชันไคลเอนต์,Bir sunucu ve çoklu istemci oturumu başlat,Bắt đầu các phiên một máy chủ và nhiều máy khách,,,開始伺服器與多個用戶端作業
Studio.TestingControls.Title.ServerAndClients,,,Server & Clients,Server & Clients,,Server und Clients,,,Server dan Klien,Server e client,,서버 및 클라이언트,Serwer i klienty,,,เซิร์ฟเวอร์และไคลเอนต์,Sunucu ve İstemciler,Máy Chủ & Máy Khách,,,伺服器與用戶端
