Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.PlaceAnnotations.Reply.Placeholder,,,Add a reply...,Add a reply...,,Antwort hinzufügen ...,Añadir una respuesta...,Ajouter une réponse...,,Tambahkan balasan ...,Aggiungi una risposta...,返信を追加,답변 추가...,Dodaj odpowiedź...,Adicionar uma resposta...,,เพิ่มการตอบกลับ...,Yanıt ekle...,Thêm phản hồi...,添加回复...,添加回复...,新增回覆……
Studio.PlaceAnnotations.List.SingleReply,,,1 reply,1 reply,,1 Antwort,1 respuesta,1 réponse,,1 balasan,1 risposta,返信 1件,답변 1개,1 odpowiedź,1 resposta,,1 การตอบกลับ,1 yanıt,1 lượt trả lời,1 条回复,1 条回复,1 則回覆
Studio.PlaceAnnotations.AddAnnotation.Button,,,Create,Create,,Erstellen,Crear,Créer,,Buat,Crea,作成,생성,Utwórz,Criar,,สร้าง,Oluştur,Tạo,创建,创建,建立
Studio.PlaceAnnotations.List.ManyReplies,,,{replyCount} replies,{replyCount} replies,,{replyCount} Antworten,{replyCount} respuestas,{replyCount} réponses,,{replyCount} balasan,{replyCount} risposte,返信 {replyCount} 件,답변 {replyCount}개,{replyCount} odp.,{replyCount} respostas,,{replyCount} การตอบกลับ,{replyCount} yanıt,{replyCount} lượt trả lời,{replyCount} 条回复,{replyCount} 条回复,{replyCount} 則回覆
Studio.PlaceAnnotations.Dropdown.ZoomTo,,,Zoom To,Zoom To,,Zoomen auf,Hacer zoom en,Zoomer sur,,Perbesar Ke,Ingrandisci,ズーム対象,확대,Zbliżenie na,Ampliar para,,ซูมไปยัง,Yakınlaş:,Thu phóng đến,缩放至,缩放至,縮放為
Studio.PlaceAnnotations.Dropdown.Delete,,,Delete,Delete,,Löschen,Eliminar,Supprimer,,Hapus,Elimina,削除,삭제,Usuń,Excluir,,ลบ,Sil,Xóa,删除,删除,刪除
Studio.PlaceAnnotations.Card.SingleReply,,,1 reply,1 reply,,1 Antwort,1 respuesta,1 réponse,,1 balasan,1 risposta,返信 1件,답변 1개,1 odpowiedź,1 resposta,,1 การตอบกลับ,1 yanıt,1 lượt trả lời,1 条回复,1 条回复,1 則回覆
Studio.PlaceAnnotations.Card.ManyReplies,,,{replyCount} replies,{replyCount} replies,,{replyCount} Antworten,{replyCount} respuestas,{replyCount} réponses,,{replyCount} balasan,{replyCount} risposte,返信 {replyCount} 件,답변 {replyCount}개,{replyCount} odp.,{replyCount} respostas,,{replyCount} การตอบกลับ,{replyCount} yanıt,{replyCount} lượt trả lời,{replyCount} 条回复,{replyCount} 条回复,{replyCount} 則回覆
Studio.PlaceAnnotations.Card.DeletedInstance,,,Deleted Instance,Deleted Instance,,Gelöschte Instanz,Instancia eliminada,Instance supprimée,,Kejadian Dihapus,Istanza eliminata,削除済みインスタンス,삭제된 인스턴스,Usunięta instancja,Instância excluída,,อินสแตนซ์ที่ถูกลบ,Silinen Örnekler,Phiên Bản Đã Bị Xóa,已删除实例,已删除实例,已刪除個體
Studio.PlaceAnnotations.Dropdown.ShowResolved,,,Show only resolved,Show only resolved,,Nur gelöste anzeigen,Mostrar solo resueltos,Voir les commentaires résolus,,Tampilkan yang telah diselesaikan saja,Mostra solo risolti,解決済みコメントを表示,해결된 코멘트 보기,Wyświetl rozwiązane komentarze,Mostrar apenas resolvidos,,แสดงเฉพาะรายการที่แก้ไขแล้ว,Yalnızca çözümlenmişleri göster,Chỉ hiện các bình luận đã giải quyết,查看已解决的评论,查看已解决的评论,只顯示已解決
Studio.PlaceAnnotations.Dropdown.HideInWorkspace,,,Show in 3D viewport,Show in 3D viewport,,Im 3D-Ansichtsfenster anzeigen,Ocultar en la ventanilla 3D,Afficher dans la fenêtre 3D,,Tampilkan di viewport 3D,Mostra nella finestra 3D,3Dビューポートで非表示,3D 뷰포트에 숨기기,Ukryj w oknie podglądu 3D,Exibir em visualização 3D,,แสดงใน 3D viewport,3B görünüm penceresinde göster,Hiện trong khung nhìn 3D,在 3D 视图中隐藏,在 3D 视图中隐藏,以 3D 視角顯示
Studio.PlaceAnnotations.Error.Unresolve,,,Failed to unresolve thread.,Failed to unresolve thread.,,Thread konnte nicht wieder geöffnet werden.,Error al desbloquear el hilo.,Impossible de ne pas résoudre le thread.,,Gagal mengubah status thread ke belum selesai.,Impossibile non risolvere il thread.,スレッドを未解決にできませんでした。,스레드를 해결 취소 처리하지 못했습니다.,Nie udało się oznaczyć wątku jako nierozwiązanego.,Falha ao reativar tópico.,,เลิกแก้ปัญหาเธรดไม่สำเร็จ,Başlık çözümlenmesi kaldırılamadı.,Không thể hủy xử lý chủ đề.,取消解决讨论串失败。,取消解决讨论串失败。,取消解決貼文失敗。
Studio.PlaceAnnotations.AddAnnotation.Failed,,,Failed to submit comment,Failed to submit comment,,Fehler beim Abschicken des Kommentars,Error al enviar el comentario,Échec de l'envoi du commentaire,,Gagal mengirim komentar,Impossibile inviare il commento,コメントを送信できませんでした,코멘트를 제출하지 못했습니다,Nie udało się przesłać komentarza,Falha ao enviar comentário,,ส่งความคิดเห็นไม่สำเร็จ,Yorum gönderilemedi,Không thể gửi bình luận,提交评论失败,提交评论失败,提交註解失敗
Studio.PlaceAnnotations.Error.Unknown,,,An unknown error occurred.,An unknown error occurred.,,Ein unbekannter Fehler ist aufgetreten.,Se produjo un error desconocido.,Une erreur inconnue s'est produite.,,Terjadi eror yang tidak dikenal.,Si è verificato un errore imprevisto.,不明なエラーが発生しました。,알 수 없는 오류가 발생했어요.,Wystąpił nieznany błąd.,Ocorreu um erro desconhecido.,,เกิดข้อผิดพลาดที่ไม่ทราบสาเหตุ,Bilinmeyen bir hata oluştu.,Đã xảy ra một lỗi không xác định.,发生未知错误。,发生未知错误。,發生未知錯誤。
Studio.PlaceAnnotations.Error.DeleteThread,,,Failed to delete thread.,Failed to delete thread.,,Thread konnte nicht gelöscht werden.,Error al eliminar el hilo.,Impossible de supprimer le fil de discussion.,,Gagal menghapus thread.,Impossibile eliminare il thread.,スレッドを削除できませんでした。,스레드를 삭제하지 못했습니다.,Nie udało się usunąć wątku.,Falha ao excluir o tópico.,,ลบเธรดไม่สำเร็จ,Başlık silinemedi.,Không thể xóa chủ đề.,删除讨论串失败。,删除讨论串失败。,刪除貼文失敗。
Studio.PlaceAnnotations.Reply.Failed,,,Failed to submit reply,Failed to submit reply,,Fehler beim Abschicken der Antwort,Error al enviar la respuesta,Échec de l'envoi de la réponse,,Gagal mengirim balasan,Impossibile inviare la risposta,返信できませんでした,답변을 제출하지 못했습니다,Nie udało się przesłać odpowiedzi,Falha ao enviar resposta,,ส่งคำตอบกลับไม่สำเร็จ,Yanıt gönderilemedi,Không thể gửi câu trả lời,提交回复失败,提交回复失败,提交回覆失敗
Studio.PlaceAnnotations.Error.Resolve,,,Failed to resolve thread.,Failed to resolve thread.,,Thread konnte nicht abgeschlossen werden.,Error al resolver el hilo.,Impossible de résoudre le fil de discussion.,,Gagal mengubah status thread ke selesai.,Impossibile risolvere il thread.,スレッドを解決できませんでした。,스레드를 해결하지 못했습니다.,Nie udało się oznaczyć wątku jako rozwiązanego.,Falha ao fechar o tópico.,,แก้ปัญหาเธรดไม่สำเร็จ,Başlık çözümlenemedi.,Không thể xử lý chủ đề.,解决讨论串失败。,解决讨论串失败。,解決貼文失敗。
Studio.PlaceAnnotations.Error.DeleteReply,,,Failed to delete comment.,Failed to delete comment.,,Kommentar konnte nicht gelöscht werden.,Error al eliminar el comentario.,Impossible de supprimer le commentaire.,,Gagal menghapus komentar.,Impossibile eliminare il commento.,コメントを削除できませんでした。,코멘트를 삭제하지 못했습니다.,Nie udało się usunąć komentarza.,Falha ao excluir comentário.,,ลบความคิดเห็นไม่สำเร็จ,Yorum silinemedi.,Không thể xóa bình luận.,删除评论失败。,删除评论失败。,刪除註解失敗。
Studio.PlaceAnnotations.Plugin.NoAnnotations,,,No comments yet,No comments yet,,Noch keine Kommentare,Aún no hay comentarios,Pas encore de commentaires,,Belum ada komentar,Ancora nessun commento,コメントはまだありません,코멘트 아직 없음,Nie ma jeszcze komentarzy,Nenhum comentário ainda,,ยังไม่มีความคิดเห็น,Henüz yorum yok,Chưa có bình luận,尚无评论,尚无评论,尚無註解
Studio.PlaceAnnotations.Plugin.ToBegin,,,"To begin, click the “Create” button below, then click anywhere in the viewport to place your comment.","To begin, click the “Create” button below, then click anywhere in the viewport to place your comment.",,"Klicke zunächst auf die Schaltfläche “Erstellen” und dann auf eine beliebige Stelle im Ansichtsfenster, um deinen Kommentar zu platzieren.","Para empezar, haz clic en el botón Crear de abajo, luego haz clic en cualquier lugar de la ventanilla para colocar tu comentario.","Pour commencer, cliquer sur le bouton « Créer » ci-dessous, puis cliquer n'importe où dans la fenêtre d'affichage pour placer votre commentaire.",,"Untuk memulai, klik tombol ""Buat"" di bawah ini, lalu klik di mana saja di viewport untuk meletakkan komentarmu.","Per iniziare, clicca sul pulsante ""Crea"" qui sotto e poi in qualsiasi punto della finestra per inserire il tuo commento.",開始するには、下の [作成] ボタンをクリックし、ビューポートの任意の場所をクリックしてコメントを入力します。,시작하려면 아래의 '만들기' 버튼을 클릭한 다음 뷰포트의 아무 곳이나 클릭해 코멘트를 입력하세요.,"Najpierw kliknij przycisk „Utwórz” poniżej, a następnie kliknij dowolne miejsce w oknie podglądu, aby zamieścić komentarz.","Para começar, clique no botão ""Criar"" abaixo e em seguida, clique em qualquer lugar no espaço de visualização para colocar seu comentário.",,"เริ่มต้นโดยคลิกที่ปุ่ม ""สร้าง"" ที่อยู่ด้านล่าง แล้วคลิกที่ใดก็ได้ใน Viewport เพื่อลงความคิดเห็นของคุณ","Başlamak için aşağıdaki ""Oluştur"" düğmesine tıkla, ardından yorumunu eklemek için görünüm penceresindeki herhangi bir yere tıkla.","Để bắt đầu, hãy nhấn vào nút “Tạo” bên dưới, sau đó nhấn vào một vị trí bất kỳ trong khung nhìn để viết bình luận của bạn.",先点按下方的“创建”按钮，然后点击视图端口的任何地方发表你的评论。,先点按下方的“创建”按钮，然后点击视图端口的任何地方发表你的评论。,若要開始，按一下底下的「建立」按鈕，然後在視角任意處按一下即可放置註解。
Studio.PlaceAnnotations.Plugin.NoResolvedAnnotations,,,No resolved comments,No resolved comments,,Keine gelösten Kommentare,No hay comentarios resueltos,Aucun commentaire résolu,,Belum ada komentar yang telah diselesaikan,Nessun commento risolto,解決済みコメントはありません,해결된 코멘트 없음,Brak nierozwiązanych komentarzy,Nenhum comentário resolvido,,ไม่มีความคิดเห็นที่แก้ไขแล้ว,Çözümlenen yorum yok,Không có bình luận nào đã được giải quyết,没有已解决的评论,没有已解决的评论,沒有已解決的註解
Studio.PlaceAnnotations.TextInput.LengthExceeded,,,Comment is too long. Shorten to under {maxLength} characters.,Comment is too long. Shorten to under {maxLength} characters.,,Der Kommentar ist zu lang. Kürze ihn auf weniger als {maxLength} Zeichen.,El comentario es demasiado largo. Acortar a menos de {maxLength} caracteres.,Le commentaire est trop long. Raccourcis-le pour qu'il ne dépasse pas {maxLength} caractères.,,Komentar terlalu panjang. Persingkat menjadi kurang dari {maxLength} karakter.,Il commento è troppo lungo. Utilizza al massimo {maxLength} caratteri.,コメントが長すぎます。 {maxLength} 文字以下に短縮してください。,코멘트 길이가 너무 깁니다. {maxLength}자 이내로 줄여 주세요.,"Komentarz jest za długi. Skróć, go do długości nieprzekraczającej {maxLength} znaków.",O comentário é longo demais. Encurte para menos de {maxLength} caracteres.,,ความคิดเห็นยาวเกินไป ให้ลดความยาวให้ไม่เกิน {maxLength} อักขระ,Yorum çok uzun. {maxLength} karakterin altına inecek kadar kısalt.,Bình luận quá dài. Hãy rút xuống còn dưới {maxLength} ký tự.,评论过长。请缩短至 {maxLength} 个字符以内。,评论过长。请缩短至 {maxLength} 个字符以内。,註解過長。請縮短至 {maxLength} 字元以下。
Studio.PlaceAnnotations.Dropdown.Edit,,,Edit,Edit,,Bearbeiten,Editar,Modifier,,Edit,Modifica,編集,편집,Edytuj,Editar,,แก้ไข,Düzenle,Chỉnh Sửa,编辑,编辑,編輯
Studio.PlaceAnnotations.Error.Edit,,,Failed to edit comment.,Failed to edit comment.,,Kommentar konnte nicht bearbeitet werden.,Error al editar el comentario.,Impossible de modifier le commentaire.,,Gagal mengedit komentar.,Impossibile modificare il commento.,コメントを編集できませんでした。,코멘트를 편집하지 못했습니다.,Nie udało się edytować komentarza.,Falha ao excluir comentário.,,แก้ไขความคิดเห็นไม่สำเร็จ,Yorum düzenlenemedi.,Không thể chỉnh sửa bình luận.,删除评论失败。,删除评论失败。,編輯註解失敗。
Studio.PlaceAnnotations.Plugin.ToAdd,,,Press C or click “Add comment” and then click anywhere in the workspace to add your first comment.,Press C or click “Add comment” and then click anywhere in the workspace to add your first comment.,,"Drücke C oder klicke auf “Kommentar hinzufügen” und klicke dann irgendwo im Arbeitsbereich, um deinen ersten Kommentar hinzuzufügen.","Presiona C o haz clic en ""Añadir comentario"" y luego haz clic en cualquier lugar del área de trabajo para añadir tu primer comentario.",Appuyer sur C ou cliquer sur « Ajouter un commentaire » puis cliquer n'importe où dans l'espace de travail pour ajouter ton premier commentaire.,,"Tekan C atau klik ""Tambahkan komentar"", lalu klik di mana saja di workspace untuk menambahkan komentar pertama.","Premi C o fai clic su ""Aggiungi commento"", quindi fai clic in qualsiasi punto dell'area di lavoro per aggiungere il tuo primo commento.",[C] キーを押すか、[コメントを追加] をクリックし、ワークスペースにある任意の場所をクリックして最初のコメントを追加します。,C를 누르거나 '코멘트 추가'를 클릭한 다음 작업 공간의 아무 곳이나 클릭해 첫 코멘트를 추가하세요.,"Naciśnij klawisz C lub kliknij „Dodaj komentarz”, a następnie kliknij dowolne miejsce w obszarze roboczym, aby dodać swój pierwszy komentarz.","Pressione C ou clique em ""Adicionar comentário"" e, em seguida, clique em qualquer lugar da área de trabalho para adicionar seu primeiro comentário.",,"กดปุ่ม C หรือคลิก ""เพิ่มความคิดเห็น"" แล้วคลิกที่ใดก็ได้ใน Workspace เพื่อลงความคิดเห็นแรกของคุณ","İlk yorumu eklemek için C'ye veya ""Yorum ekle"" seçeneğine tıkla ve ardından çalışma alanındaki herhangi bir yere tıkla.",Nhấn C hoặc nhấn vào “Thêm bình luận” rồi nhấn vào vị trí bất kỳ trong không gian làm việc để thêm bình luận đầu tiên của bạn.,按下 C 或点击“添加评论”，然后点击工作区的任何地方添加你的第一个评论。,按下 C 或点击“添加评论”，然后点击工作区的任何地方添加你的第一个评论。,按下 C 或按一下「新增註解」，然後在工作區任意處按一下即可新增第一則註解。
Studio.PlaceAnnotations.AddAnnotation.AddComment,,,Add comment,Add comment,,Kommentar hinzufügen,Añadir comentario,Ajouter un commentaire,,Tambahkan komentar,Aggiungi un commento,コメントを追加,코멘트 추가,Dodaj komentarz,Adicionar um comentário,,เพิ่มความคิดเห็น,Yorum ekle,Thêm bình luận,添加评论,添加评论,新增註解
Studio.PlaceAnnotations.Dropdown.ShowTagged,,,Show my recent mentions,Show my recent mentions,,Meine letzten Erwähnungen anzeigen,Mostrar mis menciones recientes,Afficher mes dernières mentions,,Tampilkan komentar terbaru yang menyebut saya,Mostra le mie menzioni recenti,自分がタグ付けされたコメントを表示,내가 태그된 최근 코멘트 보기,"Wyświetl ostatnie komentarze, w których ktoś mnie oznaczył",Mostrar minhas menções recentes,,แสดงการกล่าวถึงล่าสุดของฉัน,En son bahsedilmeleri göster,Hiện các lượt đề cập gần đây của tôi,查看我被标记的评论,查看我被标记的评论,顯示最近的提及我的留言
Studio.PlaceAnnotations.Plugin.NoMatching,,,No comments match your filters,No comments match your filters,,Keine Kommentare entsprechen deinen Filtern,Ningún comentario coincide con tus filtros,Aucun commentaire ne correspond à tes filtres,,Tidak ada komentar yang cocok dengan filter,Nessun commento corrispondente ai filtri,フィルタの条件と一致するコメントがありません,필터에 맞는 코멘트 없음,Brak komentarzy pasujących do wybranych filtrów,Nenhum comentário corresponde aos seus filtros,,ไม่มีคอมเมนต์ที่ตรงกับตัวกรองของคุณ,Filtrelerin ile eşleşen yorum yok,Không có bình luận nào phù hợp với bộ lọc của bạn,没有符合筛选条件的评论,没有符合筛选条件的评论,沒有符合您篩選條件的留言
Studio.PlaceAnnotations.Contents.TaggedYou,,,tagged you,tagged you,,hat dich markiert,te etiquetó,t'a tagué,,kamu di-tag,ti ha taggato,,님이 나를 태그했습니다,oznaczył(a) cię,marcou você,,ได้แท็กคุณ,seni etiketledi,đã gắn thẻ bạn,标记了你,标记了你,標記了你
Studio.PlaceAnnotations.Error.Moderated,,,Your comment violates community standards. Please edit and try again.,Your comment violates community standards. Please edit and try again.,,Dein Kommentar verstößt gegen die Community-Regeln. Bitte bearbeite ihn und versuche es erneut.,Tu comentario infringe las Normas de la comunidad. Edítalo e inténtalo de nuevo.,Ton commentaire viole les normes de la communauté. Modifier et réessayer.,,Komen kamu melanggar standar komunitas. Edit komen dan coba lagi.,Il tuo commento viola le norme comunitarie. Modificalo e riprova.,,코멘트에 커뮤니티 규정을 위반하는 내용이 있습니다. 편집하고 다시 시도하세요.,Twój komentarz narusza standardy Społeczności. Edytuj go i spróbuj ponownie.,"Seu comentário viola os padrões da comunidade. Por favor, edite e tente novamente.",,ความคิดเห็นของคุณละเมิดมาตรฐานชุมชนของเรา โปรดแก้ไขและลองอีกครั้ง,"Yorumun, topluluk standartlarımızı ihlal ediyor. Lütfen düzenleyip tekrar gönder.",Bình luận của bạn vi phạm tiêu chuẩn cộng đồng. Vui lòng chỉnh sửa và thử lại.,,,您的留言違反社群標準。請編輯並再試一次。
Studio.PlaceAnnotations.ShowUnresolved.Button,,,Show unresolved,Show unresolved,,Ungelöste anzeigen,Mostrar no resueltos,Afficher non résolu,,Tampilkan yang belum diselesaikan,Mostra non risolti,,미해결 보기,Pokaż nierozwiązane,Mostrar não resolvido,,แสดงรายการที่ยังไม่ได้รับการแก้ไข,Çözümlenmemişleri göster,Hiện các bình luận chưa giải quyết,,,顯示未解決項目
Studio.PlaceAnnotations.ClearAllFilters.Button,,,Clear all filters,Clear all filters,,Alle Filter löschen,Eliminar todos los filtros,Effacer tous les filtres,,Hapus semua filter,Rimuovi tutti i filtri,,모든 필터 지우기,Wyczyść wszystkie filtry,Limpar todos os filtros,,เคลียร์ตัวกรองทั้งหมด,Tüm filtreleri temizle,Xóa tất cả bộ lọc,,,清除所有篩選器
Studio.PlaceAnnotations.ShowAllComments.Button,,,Show all comments,Show all comments,,Alle Kommentare anzeigen,Mostrar todos los comentarios,Afficher tous les commentaires,,Tampilkan semua komentar,Mostra tutti i commenti,すべてのコメントを表示,모든 코멘트 보기,Pokaż wszystkie komentarze,Mostrar todos os comentários,,แสดงความคิดเห็นทั้งหมด,Tüm yorumları göster,Hiện tất cả bình luận,,,顯示所有註解
Studio.PlaceAnnotations.Plugin.NoCommentsForUser,,,No comments found for this user,No comments found for this user,,Keine Kommentare für diesen Benutzer gefunden,No se encontraron comentarios para este usuario,Aucun commentaire trouvé pour cet utilisateur,,Tidak ada komentar ditemukan untuk pengguna ini,Nessun commento trovato per questo utente,,이 사용자에 대해 발견된 코멘트 없음,Nie znaleziono komentarzy tego użytkownika,Nenhum comentário encontrado para este usuário,,ไม่พบคอมเมนต์สำหรับผู้ใช้รายนี้,Bu kullanıcı için hiç yorum bulunamadı,Không tìm thấy bình luận nào cho người dùng này,,,找不到此使用者的評論
Studio.PlaceAnnotations.Error.AllTaggableUsers,,,Could not get all taggable users.,Could not get all taggable users.,,Es konnten nicht alle markierbaren Benutzer ermittelt werden.,No se pudo obtener todos los usuarios etiquetables.,Impossible d'obtenir tous les utilisateurs taggables.,,Tidak bisa mengambil semua pengguna yang dapat di-tag.,Impossibile recuperare tutti gli utenti taggabili.,,태그 가능한 사용자를 모두 불러오지 못했습니다.,"Nie udało się pobrać wszystkich użytkowników, których można oznaczyć.",Não foi possível obter todos os usuários marcáveis,,ไม่สามารถรับผู้ใช้ที่สามารถแท็กได้ทั้งหมด,Etiketlenebilen tüm kullanıcılar listelenemedi.,Không thể tìm được toàn bộ người dùng có thể gắn thẻ.,,,無法取得所有可標記的使用者。
Studio.PlaceAnnotations.Error.TaggingChangeRankPermission,,,"You don't have permission to tag users in other rolesets. Contact the group owner to get the ""Manage Ranks"" permission.","You don't have permission to tag users in other rolesets. Contact the group owner to get the ""Manage Ranks"" permission.",,"Du hast nicht die Berechtigung, Benutzer in anderen Rollensets zu markieren. Wende dich an den Gruppenbesitzer, um die Berechtigung ""Ränge verwalten"" zu erhalten.","No tiene permiso para etiquetar usuarios en otros roles. Ponte en contacto con el propietario del grupo para obtener el permiso ""Gestionar rangos"".",Tu n'as pas la permission d'étiqueter les utilisateurs dans d'autres ensembles de rôles. Contacte le propriétaire du groupe pour obtenir la permission « Gérer les rangs ».,,"Kamu tidak memiliki izin untuk memberi tag ke pengguna dengan peran lain. Hubungi pemilik grup untuk mendapatkan izin ""Kelola Peringkat"".","Non hai i permessi necessari per taggare utenti con altri set di ruoli. Contatta il proprietario del gruppo per ottenere l'autorizzazione ""Gestisci ranghi"".",,"다른 역할군의 사용자를 태그할 권한이 없습니다. 그룹 소유자에게 ""등급 관리"" 권한을 문의하세요.","Nie masz uprawnień do oznaczania użytkowników w ramach innych zestawów ról. Skontaktuj się z właścicielem grupy, aby otrzymać uprawnienie „Zarządzanie rangami”.","Você não tem permissão para marcar usuários em outras funções. Entre em contato com o proprietário do grupo para obter a permissão ""Gerenciar posições"" .",,"คุณไม่มีสิทธิ์ที่จะแท็กผู้ใช้ในชุดบทบาทอื่น ให้ติดต่อเจ้าของกลุ่มเพื่อรับสิทธิ์ ""จัดการสถานะ""","Kullanıcıları, diğer rol kümesinde etiketleme iznine sahip değilsin. ""Rütbeleri Yönet"" iznine sahip olmak için grup sahibi ile iletişime geç.","Bạn không có quyền gắn thẻ người dùng trong những bộ vai trò khác. Hãy liên hệ với chủ sở hữu nhóm để nhận quyền ""Quản lý thứ hạng"".",,,您沒有標記屬於其他角色集之使用者的權限。請聯絡群組擁有者來取得「管理階級」權限。
Studio.PlaceAnnotations.Other.MissingUser,,,Anonymous,Anonymous,,Anonym,Anónimo,Anonyme,,Anonim,Anonimo,匿名,익명,Anonimowy użytkownik,Anônimo,,ไม่ระบุชื่อ,Anonim,Ẩn danh,,,匿名
